Designator,Mid X,Mid Y,Rotation,Layer
D1,-27.7,4.85,0.0,top
D10,-27.7,-4.85,0.0,top
D11,-20.7,-4.85,0.0,top
D12,-13.7,-4.85,0.0,top
D13,-6.7,-4.85,0.0,top
D14,0.3,-4.85,0.0,top
D15,7.3,-4.85,0.0,top
D16,14.3,-4.85,0.0,top
D17,21.3,-4.85,0.0,top
D18,28.3,-4.85,0.0,top
D2,-20.7,4.85,0.0,top
D3,-13.7,4.85,0.0,top
D4,-6.7,4.85,0.0,top
D5,0.3,4.85,0.0,top
D6,7.3,4.85,0.0,top
D7,14.3,4.85,0.0,top
D8,21.3,4.85,0.0,top
D9,28.3,4.85,0.0,top
JP1,-34.1,3.2,270.0,top
JP2,-34.1,-3.1,270.0,top
JP3,34.1,3.2,270.0,top
JP4,34.1,-3.1,270.0,top
